c_elementvalue_id;ad_client_id;ad_org_id;isactive;created;createdby;updated;updatedby;value;name;description;accounttype;accountsign;isdoccontrolled;c_element_id;issummary;validfrom;validto;postactual;postbudget;postencumbrance;poststatistical;isbankaccount;c_bankaccount_id;isforeigncurrency;c_currency_id;showelement;showvaluecond;elementlevel;nomanualacct;datevuseauto
A5272273A3C44B3C72BD0CDE340B49;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;510;Allgem.Werkzeuge u.Handwerkzeuge;Allgem.Werkzeuge u.Handwerkzeuge;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B50;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;520;Vorrichtungen,Formen u.Modelle;Vorrichtungen,Formen u.Modelle;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B51;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;530;Andere Erzeugungshilfsmittel;Andere Erzeugungshilfsmittel;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B52;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;540;Hebezeuge u.Montageanlagen;Hebezeuge u.Montageanlagen;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B53;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;550;Geringwert.Verm.gegenst.(Erzeug.);Geringwert.Verm.gegenst.(Erzeug.);A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B54;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;559;Festwert Maschinen;Festwert Maschinen;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B55;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;560;Geringw.Werkz.,Vorr.,Mod.,For.;Geringw.Werkz.,Vorr.,Mod.,For.;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B56;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;569;Festwert Werkz.,Vorr.,Mod.,Masch.;Festwert Werkz.,Vorr.,Mod.,Masch.;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B57;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;590;Kumulierte Afa techn.Anl.,Maschinen;Kumulierte Afa techn.Anl.,Maschinen;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
A5272273A3C44B3C72BD0CDE340B58;C726FEC915A54A0995C568555DA5BB3C;0;Y;2016-10-11 17:43:25.597216;100;2016-10-11 17:43:25.597216;100;600;Beheizungs-u.Beleuchtungsanl.;Beheizungs-u.Beleuchtungsanl.;A;N;N;A5272273A3C44B3D8BD72BD0CDE340B5;N;;;Y;Y;Y;Y;N;;N;;Y;A;C;N;N
