Konto;Kontobeschriftung;SprachId;Kontenrahmen ID
1065;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1066;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1067;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1068;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1069;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1070;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1071;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1072;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1073;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1074;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1075;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1076;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1077;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1078;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1079;Unfinished goods;en_US;D871D9715A904125974B545FC0FF0681
1080;Services in progress;en_US;D871D9715A904125974B545FC0FF0681
1081;Services in progress;en_US;D871D9715A904125974B545FC0FF0681
1082;Services in progress;en_US;D871D9715A904125974B545FC0FF0681
1083;Services in progress;en_US;D871D9715A904125974B545FC0FF0681
1084;Services in progress;en_US;D871D9715A904125974B545FC0FF0681
1085;Services in progress;en_US;D871D9715A904125974B545FC0FF0681
1086;Services in progress;en_US;D871D9715A904125974B545FC0FF0681
1087;Services in progress;en_US;D871D9715A904125974B545FC0FF0681
1088;Services in progress;en_US;D871D9715A904125974B545FC0FF0681
1089;Services in progress;en_US;D871D9715A904125974B545FC0FF0681
1090;Construction contracts in progress;en_US;D871D9715A904125974B545FC0FF0681
1091;Construction contracts in progress;en_US;D871D9715A904125974B545FC0FF0681
1092;Construction contracts in progress;en_US;D871D9715A904125974B545FC0FF0681
1093;Construction contracts in progress;en_US;D871D9715A904125974B545FC0FF0681
1094;Construction contracts in progress;en_US;D871D9715A904125974B545FC0FF0681
1095;Orders in progress;en_US;D871D9715A904125974B545FC0FF0681
1096;Orders in progress;en_US;D871D9715A904125974B545FC0FF0681
1097;Orders in progress;en_US;D871D9715A904125974B545FC0FF0681
1098;Orders in progress;en_US;D871D9715A904125974B545FC0FF0681
1099;Orders in progress;en_US;D871D9715A904125974B545FC0FF0681
1100;Finshd gds / merch. (inventories);en_US;D871D9715A904125974B545FC0FF0681
1101;Finshd gds / merch. (inventories);en_US;D871D9715A904125974B545FC0FF0681
1102;Finshd gds / merch. (inventories);en_US;D871D9715A904125974B545FC0FF0681
1103;Finshd gds / merch. (inventories);en_US;D871D9715A904125974B545FC0FF0681
1104;Finshd gds / merch. (inventories);en_US;D871D9715A904125974B545FC0FF0681
1105;Finshd gds / merch. (inventories);en_US;D871D9715A904125974B545FC0FF0681
1106;Finshd gds / merch. (inventories);en_US;D871D9715A904125974B545FC0FF0681
1107;Finshd gds / merch. (inventories);en_US;D871D9715A904125974B545FC0FF0681
1108;Finshd gds / merch. (inventories);en_US;D871D9715A904125974B545FC0FF0681
1109;Finshd gds / merch. (inventories);en_US;D871D9715A904125974B545FC0FF0681
1110;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1111;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1112;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1113;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1114;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1115;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1116;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1117;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1118;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1119;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1120;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1121;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1122;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1123;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1124;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1125;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1126;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1127;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1128;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1129;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1130;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1131;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1132;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1133;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1134;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1135;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1136;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1137;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1138;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1139;Finished goods (inventories);en_US;D871D9715A904125974B545FC0FF0681
1140;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1141;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1142;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1143;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1144;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1145;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1146;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1147;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1148;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1149;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1150;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1151;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1152;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1153;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1154;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1155;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1156;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1157;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
1158;Merchandise (inventories);en_US;D871D9715A904125974B545FC0FF0681
